year,sexo,edad1
2000,1,58
2000,1,69
2000,1,69
2000,1,72
2000,2,52
2000,1,51
2000,2,89
2000,1,65
2000,2,58
2000,1,56
2000,2,63
2000,2,66
2000,1,46
2000,1,16
2000,1,89
2000,1,88
2000,1,86
2000,2,77
2000,1,79
2000,2,71
2000,2,65
2000,2,77
2000,2,66
2000,1,64
2000,1,83
2000,1,90
2000,1,59
2000,1,70
2000,1,70
2000,1,63
2000,2,83
2000,1,84
2000,1,75
2000,1,1
2000,1,7
2000,2,73
2000,2,93
2000,1,44
2000,1,65
2000,1,83
2000,1,16
2000,1,6
2000,2,69
2000,2,93
2000,1,78
2000,2,81
2000,2,77
2000,1,43
2000,2,95
2000,1,78
2000,1,75
2000,2,86
2000,2,87
2000,1,78
2000,2,67
2000,1,69
2000,1,87
2000,1,71
2000,2,88
2000,1,78
2000,2,79
2000,2,75
2000,1,86
2000,1,38
2000,2,89
2000,1,71
2000,2,82
2000,1,88
2000,2,37
2000,1,78
2000,2,67
2000,2,67
2000,2,93
2000,2,51
2000,1,79
2000,1,89
2000,1,48
2000,1,79
2000,1,60
2000,2,79
2000,2,77
2000,2,60
2000,1,67
2000,2,85
2000,1,91
2000,2,80
2000,2,82
2000,1,67
2000,1,74
2000,1,64
2000,2,81
2000,2,94
2000,2,96
2000,1,85
2000,1,55
2000,2,47
2000,2,82
2000,1,83
2000,1,71
2000,1,7
2000,1,88
2000,2,80
2000,1,77
2000,2,82
2000,1,79
2000,1,59
2000,1,85
2000,1,81
2000,2,86
2000,1,69
2000,2,83
2000,2,75
2000,1,47
2000,1,77
2000,1,73
2000,1,79
2000,2,75
2000,2,50
2000,2,87
2000,2,0
2000,1,50
2000,1,81
2000,2,90
2000,1,83
2000,2,11
2000,1,65
2000,2,67
2000,1,71
2000,1,79
2000,2,49
2000,2,85
2000,1,77
2000,1,64
2000,2,90
2000,1,52
2000,2,92
2000,1,79
2000,1,78
2000,1,76
2000,2,74
2000,1,63
2000,2,83
2000,2,57
2000,2,93
2000,1,64
2000,2,85
2000,1,88
2000,2,78
2000,1,84
2000,2,3
2000,2,81
2000,1,68
2000,1,96
2000,2,53
2000,2,77
2000,2,59
2000,2,74
2000,1,94
2000,1,75
2000,2,85
2000,1,71
2000,2,76
2000,1,73
2000,2,86
2000,2,54
2000,1,53
2000,2,84
2000,1,66
2000,1,88
2000,1,50
2000,2,81
2000,1,81
2000,1,58
2000,1,41
2000,1,17
2000,1,60
2000,2,85
2000,1,78
2000,1,79
2000,1,49
2000,2,62
2000,1,69
2000,2,79
2000,1,79
2000,2,90
2000,1,55
2000,1,73
2000,1,64
2000,1,80
2000,1,75
2000,1,71
2000,1,80
2000,2,58
2000,2,62
2000,1,58
2000,2,0
2000,1,81
2000,2,74
2000,1,53
2000,1,80
2000,2,88
2000,1,11
2000,1,54
2000,1,75
2000,1,85
2000,1,2
2000,2,76
2000,2,82
2000,1,80
2000,1,78
2000,1,69
2000,1,76
2000,1,76
2000,1,76
2000,1,69
2000,2,1
